N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens5,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens6,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens7,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens8,bin_center
1429.1755555555558,1427.8781481481483,1429.4751851851854,1429.2087037037038,1429.6666666666667,1428.1675925925929,1428.8942592592593,1429.920740740741,-300.25
1429.6642592592593,1431.805925925926,1428.8342592592596,1428.330925925926,1427.6301851851854,1432.4016666666669,1430.8266666666668,1430.5470370370372,-299.75
1429.0792592592593,1428.1612962962963,1430.3070370370372,1428.4520370370371,1429.1814814814818,1429.435740740741,1430.8320370370375,1428.8451851851853,-299.25
1426.1846296296299,1427.8585185185188,1428.6211111111113,1427.8574074074077,1430.9875925925928,1427.7611111111114,1429.0035185185188,1429.713888888889,-298.75
1429.1522222222225,1425.9557407407408,1426.4346296296299,1427.193888888889,1426.8166666666668,1429.6242592592594,1430.235555555556,1430.2614814814817,-298.25
1428.040925925926,1423.5416666666667,1426.7100000000003,1429.358703703704,1430.1553703703705,1430.4592592592594,1431.2235185185189,1427.537037037037,-297.75
1427.7379629629631,1428.886851851852,1430.2533333333336,1428.52,1430.6529629629633,1431.9088888888891,1430.4512962962965,1428.891111111111,-297.25
1429.1290740740742,1427.9653703703705,1433.0877777777778,1428.97,1429.8292592592595,1428.9114814814816,1429.3509259259263,1431.6585185185183,-296.75
1431.744074074074,1427.213888888889,1430.5912962962966,1430.6883333333335,1428.7331481481483,1431.7400000000002,1430.1742592592593,1428.8564814814815,-296.25
1432.1361111111112,1427.3712962962964,1427.9020370370372,1429.4851851851854,1429.4911111111114,1432.6355555555556,1430.7811111111112,1428.2531481481483,-295.75
