N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens5,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens6,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens7,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens8,bin_center
1534.6546839856953,1534.8018167790235,1534.483775060448,1534.6276940048801,1534.5032453627664,1534.8757406418888,1534.678798620037,1534.824036649675,4.050000000000001
1536.0519322299142,1536.368798635021,1536.0379219870779,1536.1398541434803,1536.0861700281985,1536.3753121034804,1536.2755825556208,1536.27648062416,4.15
1537.4387719389097,1537.8101254527048,1537.512042897922,1537.58558419724,1537.6179824343292,1537.7764354701742,1537.8162178650687,1537.625549510871,4.25
1538.7419344307066,1539.1582593145154,1538.9598855307188,1538.9707685156447,1539.0545644647818,1539.0780661617212,1539.2453450611965,1538.9236480838517,4.35
1539.9737836073864,1540.3750279503813,1540.3628908688088,1540.257929141815,1540.392255717107,1540.2978351700735,1540.518268379582,1540.1554777387212,4.45
1541.119970905719,1541.5139063864933,1541.6641177811264,1541.475408664211,1541.6396933931478,1541.495828056595,1541.6868231795327,1541.3610868528706,4.550000000000001
1542.3728194611313,1542.6482077291632,1542.9790518803268,1542.7345986029372,1542.873442605528,1542.7293982324659,1542.8678741266558,1542.580340556999,4.65
1543.8978552219749,1544.0140831159085,1544.4585690337688,1544.166544026982,1544.3466731898868,1544.1596693625067,1544.3256299943134,1544.0312890058972,4.75
1545.860164475185,1545.8710783584006,1546.267449654101,1545.9423282044909,1546.2443532115449,1546.0187329728556,1546.1968820114278,1545.8729327187755,4.8500000000000005
1548.4072766249126,1548.3907144272932,1548.6319992691608,1548.3036730266688,1548.6959328406483,1548.450414349979,1548.6738955182525,1548.2825904050694,4.95
1551.5298290237317,1551.5536174455904,1551.5851934083184,1551.3030344158622,1551.7903066198628,1551.5944812420707,1551.7982617908715,1551.3336175420638,5.050000000000001
1555.0890308314058,1555.205191975011,1555.044666314339,1554.8362566253527,1555.3817558002065,1555.3347348956322,1555.3987505238083,1554.8859741596723,5.15
1558.6972238532576,1558.8827116490386,1558.524626715588,1558.4153591982301,1559.0222915776467,1559.1165329140135,1559.0483981975835,1558.4698834430305,5.25
1561.4789183280238,1561.7084509575905,1561.2101180659085,1561.2317106793462,1561.824976836765,1562.0251320342188,1561.8806843961474,1561.2250159409057,5.3500000000000005
1562.1531035121764,1562.4025454698562,1561.9050655424107,1561.9857989058517,1562.5783572357445,1562.8394054717344,1562.5889811418044,1561.928498832303,5.45
1559.2845682513887,1559.5754785354493,1559.148354796114,1559.2042540681734,1559.8326571883777,1560.1141783538026,1559.7445362981034,1559.1770354578146,5.550000000000001
1552.3164577404534,1552.5698535159095,1552.303500908461,1552.3061101518613,1552.899664715733,1553.1980646895067,1552.7676675456094,1552.3028836440221,5.65
1542.4131603212238,1542.6204997751963,1542.4946778119556,1542.4590049242033,1543.0391631512578,1543.3018457202425,1542.862141183921,1542.4627139765128,5.75
1532.5534806403498,1532.7256788178056,1532.6083627974933,1532.6290045979642,1533.1745612352659,1533.368540713925,1532.9241232515374,1532.5788262690726,5.8500000000000005
1526.9821748252646,1527.1612461578884,1527.0209710507793,1527.1425062809108,1527.5620377953267,1527.6880562469662,1527.2878159579543,1526.9441057114889,5.95
1530.7563260012896,1530.9533643320278,1530.7788696627358,1530.9289369993403,1531.2880459333537,1531.378478903455,1530.9944844741087,1530.6581314374894,6.050000000000001
1549.270435646758,1549.4548864336793,1549.2731736196322,1549.4058682564892,1549.7214948848382,1549.8236405712935,1549.4019450307803,1549.0845642935428,6.15
1587.7173935183728,1587.909947119515,1587.6795788491183,1587.7998714378566,1588.0820104823413,1588.1864447818855,1587.7670947369813,1587.4373067234164,6.25
1650.545029412665,1650.7374343329427,1650.4460147511854,1650.5771825715524,1650.8245370993857,1650.8845583036314,1650.57924630592,1650.2013902023707,6.3500000000000005
1735.7403379527948,1735.8703993629636,1735.6009134076323,1735.764060160682,1735.9346932875776,1735.9468203922163,1735.7472432445738,1735.3641273780947,6.45
1803.1770096526307,1803.300186522648,1803.066295415022,1803.2542381820278,1803.311737718061,1803.301099544224,1803.2036760377878,1802.854827750699,6.550000000000001
1775.6533917956356,1775.7622138158056,1775.5729237238108,1775.7911763246545,1775.7503213448747,1775.6614921495689,1775.7038436988328,1775.4247010178906,6.65
1647.498393821051,1647.608627555777,1647.4533804002588,1647.6988396235151,1647.6132164323944,1647.4485148017889,1647.5926202642272,1647.3813477580436,6.75
1440.1617388897412,1440.2677159089787,1440.1027221441743,1440.4086054727397,1440.2688730908515,1440.060899228859,1440.2590848422867,1440.130714738987,6.8500000000000005
1178.3591549796788,1178.4798398429768,1178.3262201527057,1178.694414103882,1178.4653437872134,1178.2617011674038,1178.4822759360381,1178.3924696722675,6.95
888.1782752875644,888.3176297620414,888.1997804231563,888.5527642755077,888.3038073120933,888.1352224188505,888.333198710421,888.2872492649526,7.050000000000001
597.4311036726749,597.5442333785918,597.4701303356038,597.7537690006053,597.5381403540736,597.4161901055587,597.5465528127573,597.5462995405765,7.15
335.866728179327,335.96753986483435,335.9042059103463,336.10780589378584,335.93542498722275,335.8626023448529,335.9300495732591,335.93896735596275,7.25
135.56899347591124,135.65976406752256,135.600092673308,135.7050176177848,135.6174187404981,135.57437420012397,135.61159190670318,135.61283579634105,7.3500000000000005
26.459980880752727,26.481874820929992,26.46473318797169,26.496316085567408,26.481487916127346,26.444408593801157,26.467491422823723,26.475355986859913,7.45
