lineage_name,whole,ensemble_long,ensemble,space,nmon,epsilon,dcyl,lcyl,dcrowd,ncrowd,dt,bdump,adump,ensemble_id,dmon,mmon,eps_others,mcrowd,dwall,phi_m_bulk,rho_m_bulk,phi_c_bulk,rho_c_bulk,n_frames,asphericityMon-mean,asphericityMon-var,asphericityMon-sem,fsdMon-mean,fsdMon-var,fsdMon-sem,gyrMon-mean,gyrMon-var,gyrMon-sem,rfloryMon-mean,rfloryMon-var,rfloryMon-sem,shapeMon-mean,shapeMon-var,shapeMon-sem,transSizeMon-mean,transSizeMon-var,transSizeMon-sem,n_segments,phi_c_bulk_round
,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000ens4,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000,N500D10.0ac0.6nc113889,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,113889,0.002,1000,5000,4,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.4526939681347921,4.002693485363174,300000,0.9745693945343571,0.00039534123144621723,3.630163216049267e-05,92.68415805935541,170.7217815619828,0.02385528247834463,27.2519879548506,17.319435313658182,0.007598134210734824,87.91789114562988,203.97400053261907,0.026075191303115468,1.924487590148745,0.0032890603383056343,0.00010470707237935491,4.325950263351599,0.04132544420787219,0.0003711494845288622,2.0,0.45
,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000ens5,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000,N500D10.0ac0.6nc113889,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,113889,0.002,1000,5000,5,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.4526939681347921,4.002693485363174,300000,0.9714560566372167,0.000411363054577806,3.702991699480114e-05,87.47543370548884,159.5805241779914,0.023063756279412734,25.582398915130465,15.661817293832907,0.007225387994210546,82.07879581103643,219.26795205601027,0.02703508109547174,1.9152868488210355,0.0033656900618004516,0.00010591980112022997,4.350368412454923,0.03979316258896518,0.0003642036757698574,2.0,0.45
,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000ens6,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000,N500D10.0ac0.6nc113889,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,113889,0.002,1000,5000,6,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.4526939681347921,4.002693485363174,300000,0.9718553085454485,0.0003856915237190016,3.5855860021373515e-05,88.63369922655741,130.0908549122285,0.020823967645468604,25.648266851366113,14.261557471297513,0.006894830191281213,83.36218065365473,165.3423266180516,0.023476433414595262,1.9164469682928233,0.003178343057759832,0.00010292964672163225,4.3402538451449075,0.04221413981544754,0.00037511900569337533,2.0,0.45
,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000ens7,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000,N500D10.0ac0.6nc113889,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,113889,0.002,1000,5000,7,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.4526939681347921,4.002693485363174,300000,0.9707695573316949,0.0005432685994152763,4.2554686789143994e-05,88.38865757976532,285.51838121221033,0.030850139542813532,26.370216455179335,33.772261709398016,0.010610116914841069,79.6133630098788,395.11910639414594,0.0362914325730938,1.9133573742162802,0.004478799750214661,0.00012218585133035284,4.354987147111893,0.048039486458217096,0.00040016516002925755,2.0,0.45
,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000ens8,N500epsilon5.0r5.5lz205.0sig0.6nc113889dt0.002bdump1000adump5000,N500D10.0ac0.6nc113889,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,113889,0.002,1000,5000,8,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.4526939681347921,4.002693485363174,300000,0.9684374713722368,0.0003615018359505694,3.471325591954299e-05,85.57937108990987,198.83382154029064,0.025744545333067158,24.466216818712148,17.900960470135434,0.007724640259197094,80.58405185491561,253.06915288493246,0.029044218957283464,1.906324739423842,0.0030353155534170117,0.00010058703811739775,4.362060155728658,0.0406961614144637,0.0003683128066774548,2.0,0.45
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens1,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,1,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.9811134399945949,5.9748023866562885e-05,1.4112432229220954e-05,111.69600754643758,183.89669673435418,0.024758655707003866,32.5701015663918,18.0533393425162,0.007757447930970297,105.78511663394929,256.93505255316927,0.029265218776231016,1.9436485457205874,0.0005190349659951455,4.159473909512539e-05,4.638358359863758,0.04292748336044125,0.0003782751487675315,2.0,0.125
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens2,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,2,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.9832007338887009,2.969469430460101e-05,9.949002175636393e-06,115.20077472033182,130.96358770812677,0.02089370114451357,33.978801467938304,13.783630416083051,0.006778317480926694,109.16021209042867,188.75801063521362,0.02508376897721444,1.9498327031043485,0.00025975814339512424,2.9425556310713333e-05,4.616398743079503,0.041175536800783605,0.0003704757034454956,2.0,0.125
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens3,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,3,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.9838128798422366,3.091065322391706e-05,1.0150657821010298e-05,117.88636113043468,147.17453331971453,0.0221491176576049,34.5898530499837,14.927334666047615,0.007053931391783283,112.72941800534566,189.5975317611763,0.02513948844315489,1.9516550222211906,0.0002707563895449401,3.00420423223437e-05,4.601853900636832,0.04248764710900346,0.00037633225007948273,2.0,0.125
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens4,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,4,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.9835963489478712,3.600561625393243e-05,1.0955323861492082e-05,117.93300627652486,189.65375752137908,0.025143215765071236,34.575553401455274,18.931522908562638,0.007943883603932724,113.13000381604513,232.31267577082824,0.02782765112551395,1.9510145240807215,0.00031597770574516153,3.245400637865283e-05,4.604744036139647,0.043015829442143674,0.00037866419964888756,2.0,0.125
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens5,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,5,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.9828278930251956,4.238101219141235e-05,1.1885727219642317e-05,115.21003198014577,179.02514892454127,0.024428517875427675,33.86544857497768,16.931585073473805,0.007512576458241838,108.0914416200765,340.0882266674522,0.03366944016456927,1.9487329881660391,0.00036990394436571674,3.511434547223184e-05,4.6189944480530425,0.04398770671737238,0.0003829179779167256,2.0,0.125
