dmon_large,phi_c,geometry,direct_contact,cluster_size,gyr
4.0,0.15,Free Space,0.015967680646387022,1.0080440304826417,0.9382548445865044
4.0,0.2,Free Space,0.019077618447631003,1.0096235391039567,0.926128926324034
4.0,0.225,Free Space,0.022479550408991782,1.0113654981583404,0.9155887397273986
4.0,0.25,Free Space,0.03215535689286209,1.0162980457995716,0.8847331024475984
4.0,0.275,Free Space,0.03249935001299971,1.0164974232305677,0.8909170422279173
4.0,0.3,Free Space,0.04314513709725802,1.0219740464661864,0.8774278922207565
4.0,0.325,Free Space,0.061332773344533034,1.0314705691231334,0.8727322751323564
4.0,0.35,Free Space,0.09710605787884233,1.049499713492308,0.8657190226082834
4.0,0.375,Free Space,0.19928201435971266,1.1013205670806447,0.8297210996102702
4.0,0.4,Free Space,1.949611007779844,2.0343182627269494,0.6368513878940987
5.0,0.0,Free Space,0.012004759904801859,1.0060376139880696,1.0
5.0,0.1,Free Space,0.02746745065098694,1.0139090328870026,0.9278792831826238
5.0,0.15,Free Space,0.02821843563128734,1.014290561048674,0.9434158172860116
5.0,0.2,Free Space,0.04705305893882118,1.024036209196173,0.917160413060381
5.0,0.225,Free Space,0.055111897762044684,1.0281840165822203,0.913083141757814
5.0,0.25,Free Space,0.08267534649307014,1.0427584998759143,0.898581864826645
5.0,0.275,Free Space,0.19152716945661083,1.100575754690973,0.8575867314241669
5.0,0.3,Free Space,0.5628537429251413,1.2845348310709919,0.7998567604303075
5.0,0.325,Free Space,3.178486430271395,4.048131318753605,0.4835163472257441
5.0,0.35,Free Space,3.5293184136317275,4.837593152040094,0.4506826019412885
5.0,0.375,Free Space,3.500435966139672,4.689733424386874,0.4516383444877436
5.0,0.4,Free Space,3.4805643887122253,4.6444942943528735,0.4502545401475859
6.0,0.0,Free Space,0.015915681686366222,1.0080206599782473,1.0
6.0,0.1,Free Space,0.0317673646527069,1.016121460665709,0.957688011321342
6.0,0.15,Free Space,0.049847003059938756,1.025529008558894,0.9340539100194633
6.0,0.2,Free Space,0.12359752804943895,1.0648819601955082,0.9124270778537296
6.0,0.225,Free Space,0.27179256414871694,1.1476147304880706,0.8733978495904962
6.0,0.25,Free Space,2.270894582108358,2.726387908166186,0.563836899532932
6.0,0.275,Free Space,3.50214995700086,4.89438136256852,0.42945167682061275
6.0,0.3,Free Space,3.5764464710705783,4.9470919101823965,0.420729373476911
6.0,0.325,Free Space,3.531765364692706,4.842195988805067,0.4191446849787184
6.0,0.35,Free Space,3.5472470550588993,4.801094627682559,0.4189437366683485
6.0,0.375,Free Space,3.5141517169656606,4.731515521426241,0.4175327803390994
6.0,0.4,Free Space,3.5536089278214433,4.843579721305996,0.4070843822664183
