rho_c_out,rho_c_in,r_chain,phi_c_out,phi_c_in,r_scaled,tail_model,vdep_model,nmon,dcyl,dcrowd
0.7500000000000001,0.7154440178435512,51.67232134916519,0.20106192982974683,0.19179807321702957,0.6968694758954407,LJ,Ha,400.0,20.0,0.8
0.7500000000000001,0.7154440178435512,51.6723213491652,0.20106192982974683,0.19179807321702957,0.6968694758954408,LJ,Ha,400.0,20.0,0.8
0.8,0.7560086345450958,43.721097399253274,0.21446605848506325,0.20267274003945165,0.5896367230012859,LJ,Ha,400.0,20.0,0.8
0.8,0.756008634545095,43.72109739925243,0.21446605848506325,0.20267274003945143,0.5896367230012745,LJ,Ha,400.0,20.0,0.8
0.8500000000000001,0.7877111978824846,32.5555995896361,0.2278701871403797,0.21117164479300518,0.43905524333208734,LJ,Ha,400.0,20.0,0.8
0.8500000000000001,0.7877111978824829,32.55559958963507,0.2278701871403797,0.21117164479300474,0.43905524333207346,LJ,Ha,400.0,20.0,0.8
0.9000000000000001,0.8036996378868448,21.39331902465794,0.24127431579569616,0.21545786692933028,0.2885171524545451,LJ,Ha,400.0,20.0,0.8
0.95,0.8100934897743277,14.61902480358448,0.25467844445101256,0.21717194719538743,0.19715685084353102,LJ,Ha,400.0,20.0,0.8
1.0,0.8142135423076559,10.861152393130288,0.26808257310632905,0.2182764614798553,0.14647697990335198,LJ,Ha,400.0,20.0,0.8
1.05,0.8184819459685883,8.593165398145702,0.28148670176164553,0.21942074611633453,0.11589018087311802,LJ,Ha,400.0,20.0,0.8
1.1,0.826174327596501,7.212497840037681,0.29489083041696196,0.22148293957646123,0.09727005596905042,LJ,Ha,400.0,20.0,0.8
1.15,0.8411149475762264,6.447165600844375,0.3082949590722784,0.22548825942442985,0.08694854026224466,LJ,Ha,400.0,20.0,0.8
1.2000000000000002,0.8618894227521753,6.014078089043591,0.3216990877275949,0.23105753418453176,0.08110778336405763,LJ,Ha,400.0,20.0,0.8
1.2500000000000002,0.8856631996550348,5.734653080863834,0.33510321638291135,0.23743086946910616,0.07733936820642406,LJ,Ha,400.0,20.0,0.8
1.3,0.9108834561925528,5.532714680704731,0.3485073450382278,0.24419198073608572,0.07461596226282191,LJ,Ha,400.0,20.0,0.8
1.35,0.936806652635074,5.3750901494729595,0.36191147369354426,0.25114153794153765,0.07249018734890808,LJ,Ha,400.0,20.0,0.8
1.4,0.9630548810671004,5.2454920840668295,0.37531560234886063,0.25817823055907796,0.07074238632974422,LJ,Ha,400.0,20.0,0.8
1.4500000000000002,0.989421819992049,5.134999274167124,0.38871973100417717,0.2652467473910156,0.06925224490558182,LJ,Ha,400.0,20.0,0.8
1.5000000000000002,1.0157887075803558,5.0382861977154265,0.40212385965949365,0.2723152504604942,0.06794794138022417,LJ,Ha,400.0,20.0,0.8
1.55,1.0420850006216489,4.951954203594666,0.41552798831481,0.27936482836216214,0.06678364045614898,LJ,Ha,400.0,20.0,0.8
1.6,1.068268381341423,4.873717259578258,0.4289321169701265,0.28638413643814187,0.06572851197055296,LJ,Ha,400.0,20.0,0.8
1.65,1.0943138449396457,4.801971459476728,0.4423362456254429,0.2933664713373006,0.06476092513084812,LJ,Ha,400.0,20.0,0.8
1.7000000000000002,1.1202073788327496,4.735551979034521,0.4557403742807594,0.3003080765301798,0.06386517074404127,LJ,Ha,400.0,20.0,0.8
1.7500000000000002,1.1459421189350034,4.673588227291286,0.4691445029360759,0.30720711187501465,0.06302950774159864,LJ,Ha,400.0,20.0,0.8
1.8,1.1715159181827886,4.615413532475971,0.4825486315913923,0.3140630017814656,0.062244945174486865,LJ,Ha,400.0,20.0,0.8
1.85,1.196929759004966,4.560506642488047,0.49595276024670876,0.3208760096215896,0.061504453269925825,LJ,Ha,400.0,20.0,0.8
1.9,1.2221866906604153,4.508452579428678,0.5093568889020251,0.32764695284855316,0.06080243550305813,LJ,Ha,400.0,20.0,0.8
1.95,1.2472911041971886,4.4589156995546935,0.5227610175573416,0.3343770086258167,0.060134365274859714,LJ,Ha,400.0,20.0,0.8
2.0,1.272248230831068,4.411620694627598,0.5361651462126581,0.3410675793511676,0.059496529690247456,LJ,Ha,400.0,20.0,0.8
2.05,1.2970637917069607,4.3663389033886295,0.5495692748679745,0.3477201987638536,0.05888584495024755,LJ,Ha,400.0,20.0,0.8
2.1,1.3217437522525637,4.322878260254228,0.5629734035232911,0.35433646609108155,0.05829972079688322,LJ,Ha,400.0,20.0,0.8
2.15,1.3462941499493764,4.281075789164717,0.5763775321786074,0.3609179998764268,0.057735959282813894,LJ,Ha,400.0,20.0,0.8
2.1999999999999997,1.3707209742894404,4.240791912715235,0.5897816608339238,0.3674664057983275,0.05719267802245223,LJ,Ha,400.0,20.0,0.8
0.02,0.0192089622181078,74.2179902734373,0.010471975511965976,0.010057789097915226,1.0,LJ,Ha,400.0,20.0,1.0
0.04,0.038416595343338,74.0343473205074,0.020943951023931952,0.020114882284427087,0.9975256275162758,LJ,Ha,400.0,20.0,1.0
0.04,0.038416595343338,74.03434732050728,0.020943951023931952,0.020114882284427087,0.9975256275162743,LJ,Ha,400.0,20.0,1.0
0.06,0.0576218466743732,73.82068433905808,0.03141592653589793,0.030170728366414715,0.9946467705078588,LJ,Ha,400.0,20.0,1.0
0.06,0.0576218466743732,73.8206843390583,0.03141592653589793,0.030170728366414715,0.9946467705078618,LJ,Ha,400.0,20.0,1.0
0.08,0.0768233191987084,73.5730293559881,0.041887902047863905,0.040224595869841,0.9913099113156661,LJ,Ha,400.0,20.0,1.0
0.08,0.0768233191987084,73.57302935598791,0.041887902047863905,0.040224595869841,0.9913099113156637,LJ,Ha,400.0,20.0,1.0
0.1,0.0960190868335745,73.28667972622162,0.05235987755982988,0.05027547630012635,0.9874516873363924,LJ,Ha,400.0,20.0,1.0
0.1,0.0960190868335744,73.28667972622114,0.05235987755982988,0.050275476300126284,0.987451687336386,LJ,Ha,400.0,20.0,1.0
0.12,0.1152064883466429,72.95594817321599,0.06283185307179585,0.060321976239281906,0.9829954692174817,LJ,Ha,400.0,20.0,1.0
0.12,0.115206488346643,72.95594817321616,0.06283185307179585,0.060321976239281955,0.982995469217484,LJ,Ha,400.0,20.0,1.0
