N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens1,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens2,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens3,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens4,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens5,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens6,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens7,N1000epsilon5.0r8.0lz308.5sig1.0nc20824dt0.005bdump1000adump5000ens8,bin_center
166.90481818219436,167.90100960902822,167.0555039148117,167.21127165288306,169.61494453913036,169.97519627043786,168.8519951851495,166.05390376452073,1.55
165.30013035635645,166.25139670172604,165.43777855414294,165.52647729036596,167.9774226424236,168.2613131715386,167.26702951019232,164.52359657175188,1.6500000000000001
163.60943251118786,164.53899733994,163.6989955170942,163.7495498116085,166.2487667826344,166.4509106155874,165.56581530159536,162.8979168238301,1.75
161.8195694802873,162.76031880825659,161.84009344649448,161.91193830057475,164.43365191901418,164.57869377868306,163.76515770099408,161.18748182925572,1.85
159.9201569155028,160.9113157679368,159.95723428549917,160.0224656757814,162.48486487075306,162.59602441778927,161.81997380055955,159.35723695248865,1.9500000000000002
157.9231983921375,158.9291176101173,158.04755995597841,158.0578610172338,160.3884780170293,160.5145561309746,159.77420956566027,157.39706634608686,2.05
155.826496704853,156.86121815467627,156.011755553406,156.00630593734257,158.1778956355093,158.33727840235903,157.61960812356608,155.33079030938848,2.1500000000000004
153.6267624421224,154.69383782074095,153.86394164546044,153.86644550516846,155.89333638663712,156.0479614607336,155.3397318967722,153.19322666608522,2.25
151.35617031446984,152.40922617647246,151.63372376077825,151.65309895526087,153.5692541544641,153.6587155804614,152.95554856052266,150.99859247029022,2.3500000000000005
149.01550979696762,150.01880716537227,149.34110111256263,149.35176530942707,151.1386347318191,151.1551007946803,150.4725372990331,148.7465679816968,2.45
146.59950100280167,147.54389668665962,146.9567517263345,146.95556806168403,148.62961565240235,148.57590500413815,147.89370342651065,146.40061216431755,2.55
144.11020287852142,144.96954966249828,144.48323190466803,144.46515347813963,146.0285421676591,145.91065221140244,145.2484143079904,143.96845098614216,2.6500000000000004
141.56036916864116,142.3352334033632,141.8977970309099,141.84940570486586,143.33712011457828,143.162802806012,142.54345049208445,141.43386271095807,2.75
138.93174724967778,139.63003334666223,139.18108374841583,139.141835500074,140.5494454689616,140.32802617011603,139.77976680559723,138.81563870935491,2.8500000000000005
136.20819777051383,136.83705974948535,136.40029756510287,136.38082534366876,137.6620202639831,137.42044427721186,136.94407980662604,136.11265789402182,2.95
133.3892919529528,133.93739850236014,133.5651872172006,133.5637883532955,134.6629131095094,134.42815954669916,134.02984156124722,133.32023064634654,3.05
130.49770372571425,130.96766289138924,130.64251680479876,130.66476868487396,131.5638663818584,131.37433008768383,131.04603637671698,130.43968583152835,3.1500000000000004
127.53189142697298,127.92380485974186,127.62480788289557,127.69321053750261,128.38793718055538,128.25339335711524,127.97257221147888,127.48119089248074,3.25
124.50878363921044,124.83005724344956,124.54470405651203,124.6793995719793,125.15673888046679,125.08377633685903,124.8382907737854,124.45547709358236,3.3500000000000005
121.41589102710154,121.6627471168643,121.41726282439168,121.58838124392362,121.8483533196952,121.8539681568201,121.63577566706728,121.36338685291783,3.45
118.2514424382074,118.43263467942651,118.21857669679804,118.4142406000954,118.4993345979387,118.5618764610631,118.35387628793518,118.21043185511964,3.55
115.05221103003213,115.13435695170139,114.97912228006096,115.17190112709326,115.11611293721457,115.20866262484482,115.01965858374004,115.01610319822555,3.6500000000000004
111.80116128129714,111.79816932151085,111.68570798873118,111.84092708009074,111.68241459987162,111.80426933260719,111.63734907168185,111.76050331284792,3.75
108.47195272943527,108.40816300221319,108.33434267288742,108.43854980612416,108.20296989066048,108.33784816660575,108.20467553617416,108.45645353190665,3.8500000000000005
105.06965998011563,104.9570972329375,104.94001358828535,104.98773567666042,104.6818669711693,104.81996228898889,104.73358923473396,105.11047138330287,3.95
