lineage_name,whole,ensemble_long,ensemble,space,epsilon_small,epsilon_large,dcyl,dmon_large,nmon_large,mmon_large,nmon_small,dcrowd,ncrowd,lcyl,dt,bdump,adump,ensemble_id,dmon_small,mmon_small,eps_others,mcrowd,dwall,phi_m_bulk,rho_m_bulk,phi_c_bulk,rho_c_bulk,n_frames,asphericityMon-mean,asphericityMon-var,asphericityMon-sem,fsdMon-mean,fsdMon-var,fsdMon-sem,gyrMon-mean,gyrMon-var,gyrMon-sem,shapeMon-mean,shapeMon-var,shapeMon-sem
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,5,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.6571312246854176,0.011157480070257162,0.0004723871308631759,45.507465667832946,34.93957959473099,0.02643466647973112,13.76843811516098,3.303534048904491,0.008128387354087515,1.0640294225268052,0.06548214112254537,0.0011443962698518845
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,6,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.6571348796369619,0.011225751816403883,0.00047383017667522784,45.23052074381791,33.95520417325014,0.026059625543453282,13.734519887012292,3.1934957727688773,0.00799186558041222,1.063947179195875,0.06614819306016832,0.0011502016611026808
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens7.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens7.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,7,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.6566193924393126,0.011724391757342523,0.00048423943989193036,45.40957626999194,36.967612918004676,0.02719103268285509,13.809439028981247,3.5648589700619207,0.008443765712123852,1.0631286352632867,0.06870463575186968,0.0011722170085088314
epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens8.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000ens8.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc4620lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc4620,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,4620,154.0,0.005,2000,5000,8,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.0499999999999999,0.0954929658551372,50001,0.6576561946093603,0.011414813430905906,0.00047780358790837693,45.44149339143039,36.50248919433254,0.027019433448661555,13.79728774129,3.4078112410831207,0.008255678338069042,1.065406820189935,0.06739209116017564,0.0011609659009650167
epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens1.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc6930,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,6930,154.0,0.005,2000,5000,1,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.075,0.1432394487827058,50001,0.6401929251273424,0.011987132922218367,0.0004896352299869438,44.46571758597787,35.40417670047368,0.026609839045162852,13.530224161448327,3.370534533265681,0.008210401370536864,1.0225422799474753,0.06900821258348386,0.001174803920520219
epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens2.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc6930,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,6930,154.0,0.005,2000,5000,2,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.075,0.1432394487827058,50001,0.5576163984790702,0.016072369018992304,0.0005669632972070116,39.46751641654026,28.77178539635939,0.023988241034456608,11.991732620248541,2.5756674643523887,0.007177280075839856,0.830613189086951,0.08171565870779514,0.0012784025868856426
epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens3.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc6930,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,6930,154.0,0.005,2000,5000,3,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.075,0.1432394487827058,50001,0.6342409312869028,0.012812630306674675,0.0005062139924315542,44.10600872504797,33.72108277009693,0.02596962948141422,13.35942851692323,3.202276267794073,0.008002844828926865,1.0091446816815162,0.07237632013906099,0.0012031319141229777
epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens4.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc6930,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,6930,154.0,0.005,2000,5000,4,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.075,0.1432394487827058,50001,0.6429929951911267,0.012308372130264261,0.0004961526404296215,44.43257946013565,35.71936763912374,0.026728025605765846,13.527833416762935,3.3404019228936113,0.008173618443374527,1.0295278463581918,0.07135547453668215,0.001194616880315042
epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens5.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc6930,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,6930,154.0,0.005,2000,5000,5,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.075,0.1432394487827058,50001,0.6310923638824603,0.012399167104747236,0.0004979792586995413,43.86019005472857,35.199980912839976,0.02653299112909812,13.33717612357086,3.1633716095351647,0.00795408273723019,1.0009206033428057,0.06993869017677191,0.0011826976805318586
epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000ens6.ring,epss5epsl5r10.5al5nl5ml125ns400ac1nc6930lz77dt0.005bdump2000adump5000,ns400nl5al5.0D20.0ac1.0nc6930,ns400nl5al5.0D20.0ac1.0,5.0,5.0,20.0,5.0,5,125,400,1.0,6930,154.0,0.005,2000,5000,6,1.0,1.0,1.0,1.0,1.0,0.0110930735930735,0.0083711366171711,0.075,0.1432394487827058,50001,0.6324467825754174,0.013279821467509664,0.0005153604848552062,44.168211417685406,37.0719055179677,0.0272293611816244,13.41019217741131,3.5486119493519346,0.008424502299070177,1.0048281976800642,0.07542702947147563,0.0012282266034529267
